3,1,4,399.08,2016-9-1
7,1,6,598.62,2016-9-1
7,2,6,247.98,2016-9-1
7,3,4,47.44,2016-9-1
7,4,10,183.3,2016-9-1
7,5,9,408.42,2016-9-1
4,1,3,299.31,2016-9-1
4,2,1,41.33,2016-9-1
4,4,6,109.98,2016-9-1
4,5,9,408.42,2016-9-1
7,1,4,399.08,2016-9-1
7,2,10,413.3,2016-9-1
7,3,2,23.72,2016-9-1
7,4,9,164.97,2016-9-1
7,5,5,226.9,2016-9-1
7,1,2,199.54,2016-9-1
7,2,7,289.31,2016-9-1
4,3,7,83.02,2016-9-1
4,4,9,164.97,2016-9-1
4,5,1,45.38,2016-9-1
9,4,7,128.31,2016-9-1
1,1,9,897.93,2016-9-1
1,2,6,247.98,2016-9-1
1,3,2,23.72,2016-9-1
1,4,6,109.98,2016-9-1
1,5,2,90.76,2016-9-1
6,2,9,371.97,2016-9-1
6,3,5,59.3,2016-9-1
6,4,5,91.65,2016-9-1
6,5,2,90.76,2016-9-1
6,1,4,399.08,2016-9-1
6,4,2,36.66,2016-9-1
3,2,10,413.3,2016-9-1
3,4,1,18.33,2016-9-1
7,1,7,698.39,2016-9-1
7,2,10,413.3,2016-9-1
7,4,7,128.31,2016-9-1
10,1,6,598.62,2016-9-1
4,2,10,413.3,2016-9-1
4,3,5,59.3,2016-9-1
4,4,9,164.97,2016-9-1
10,1,9,897.93,2016-9-1
10,2,9,371.97,2016-9-1
10,3,5,59.3,2016-9-1
10,4,2,36.66,2016-9-1
10,5,3,136.14,2016-9-1
4,1,4,399.08,2016-9-1
4,2,10,413.3,2016-9-1
4,4,9,164.97,2016-9-1
4,5,3,136.14,2016-9-1
10,2,10,413.3,2016-9-1
10,3,8,94.88,2016-9-1
10,4,8,146.64,2016-9-1
3,1,8,798.16,2016-9-1
3,4,8,146.64,2016-9-1
3,5,9,408.42,2016-9-1
9,1,8,798.16,2016-9-1
9,2,1,41.33,2016-9-1
9,5,6,272.28,2016-9-1
4,1,9,897.93,2016-9-1
4,2,2,82.66,2016-9-1
4,4,8,146.64,2016-9-1
4,5,4,181.52,2016-9-1
1,1,1,99.77,2016-9-1
1,2,1,41.33,2016-9-1
1,3,5,59.3,2016-9-1
1,4,3,54.99,2016-9-1
1,5,5,226.9,2016-9-1
6,2,2,82.66,2016-9-1
6,5,9,408.42,2016-9-1
7,1,9,897.93,2016-9-1
7,2,2,82.66,2016-9-1
7,5,1,45.38,2016-9-1
5,3,9,106.74,2016-9-1
5,4,5,91.65,2016-9-1
2,1,9,897.93,2016-9-1
2,3,6,71.16,2016-9-1
2,4,5,91.65,2016-9-1
8,2,8,330.64,2016-9-1
8,3,3,35.58,2016-9-1
8,5,8,363.04,2016-9-1
9,2,9,371.97,2016-9-1
9,3,2,23.72,2016-9-1
9,4,9,164.97,2016-9-1
2,1,3,299.31,2016-9-1
2,3,9,106.74,2016-9-1
2,4,9,164.97,2016-9-1
2,5,3,136.14,2016-9-1
1,1,6,598.62,2016-9-1
1,2,8,330.64,2016-9-1
1,3,3,35.58,2016-9-1
1,5,1,45.38,2016-9-1
10,1,4,399.08,2016-9-1
10,2,1,41.33,2016-9-1
10,3,2,23.72,2016-9-1
10,4,4,73.32,2016-9-1
10,5,5,226.9,2016-9-1
6,1,7,698.39,2016-9-1
6,5,10,453.8,2016-9-1
8,5,7,317.66,2016-9-1
8,1,3,299.31,2016-9-1
8,2,5,206.65,2016-9-1
8,3,7,83.02,2016-9-1
8,4,5,91.65,2016-9-1
8,5,5,226.9,2016-9-1
3,2,1,41.33,2016-9-1
8,1,10,997.7,2016-9-1
8,3,3,35.58,2016-9-1
8,4,10,183.3,2016-9-1
1,4,2,36.66,2016-9-1
1,5,1,45.38,2016-9-1
3,2,10,413.3,2016-9-1
3,4,6,109.98,2016-9-1
3,1,5,498.85,2016-9-1
3,2,3,123.99,2016-9-1
3,3,7,83.02,2016-9-1
3,4,2,36.66,2016-9-1
3,5,8,363.04,2016-9-1
10,1,3,299.31,2016-9-1
10,2,1,41.33,2016-9-1
10,3,9,106.74,2016-9-1
10,4,10,183.3,2016-9-1
10,5,2,90.76,2016-9-1
4,1,8,798.16,2016-9-1
4,2,2,82.66,2016-9-1
4,3,2,23.72,2016-9-1
4,4,7,128.31,2016-9-1
4,5,5,226.9,2016-9-1
10,2,4,165.32,2016-9-1
10,3,7,83.02,2016-9-1
10,5,8,363.04,2016-9-1
1,1,3,299.31,2016-9-1
1,3,9,106.74,2016-9-1
8,2,8,330.64,2016-9-1
8,5,3,136.14,2016-9-1
2,1,9,897.93,2016-9-1
2,2,9,371.97,2016-9-1
2,3,2,23.72,2016-9-1
2,4,10,183.3,2016-9-1
2,5,1,45.38,2016-9-1
3,1,6,598.62,2016-9-1
3,2,7,289.31,2016-9-1
3,3,3,35.58,2016-9-1
3,4,5,91.65,2016-9-1
7,1,1,99.77,2016-9-1
7,3,1,11.86,2016-9-1
8,5,8,363.04,2016-9-1
10,1,8,798.16,2016-9-1
10,2,3,123.99,2016-9-1
10,5,6,272.28,2016-9-1
1,2,2,82.66,2016-9-1
5,5,1,45.38,2016-9-1
1,2,2,82.66,2016-9-1
1,4,8,146.64,2016-9-1
2,1,6,598.62,2016-9-1
2,2,8,330.64,2016-9-1
2,3,4,47.44,2016-9-1
2,4,8,146.64,2016-9-1
2,5,6,272.28,2016-9-1
3,1,4,399.08,2016-9-1
7,1,7,698.39,2016-9-1
7,3,10,118.6,2016-9-1
7,1,8,798.16,2016-9-1
7,3,1,11.86,2016-9-1
7,1,8,798.16,2016-9-1
7,2,10,413.3,2016-9-1
7,3,1,11.86,2016-9-1
7,4,10,183.3,2016-9-1
7,5,1,45.38,2016-9-1
3,1,9,897.93,2016-9-1
3,2,8,330.64,2016-9-1
